week_number,day_of_week_name,pickup_neighborhood,demand,est_real_demand,drivers_needed,drivers_needed_pred
10,Monday,North Side-South Side,3.0,5268.63,483,341.2038132177851
10,Monday,SoHo-TriBeCa-Civic Center-Little Italy,15.5,27221.255,2497,2210.973237549664
10,Monday,Soundview-Bruckner,1.0,1756.21,161,166.44057688606674
10,Monday,Steinway,1.0,1756.21,161,176.25190068396108
10,Monday,Stuyvesant Town-Cooper Village,3.0,5268.63,483,319.6850743245421
10,Monday,Turtle Bay-East Midtown,13.333333333333334,23416.133333333335,2148,2517.3479188639903
10,Monday,Upper East Side-Carnegie Hill,14.0,24586.940000000002,2256,2444.649851158636
10,Monday,Upper West Side,11.0,19318.31,1772,2086.899689312862
10,Monday,West Village,17.0,29855.57,2739,2646.4199858690886
10,Monday,Yorkville,9.0,15805.89,1450,1576.6736516637286
10,Monday,park-cemetery-etc-Manhattan,2.0,3512.42,322,795.514965306674
10,Monday,park-cemetery-etc-Queens,1.0,1756.21,161,164.84591456877297
10,Saturday,Airport,9.0,15805.89,1450,1646.5689389661156
10,Saturday,Astoria,1.0,1756.21,161,302.868588018106
10,Saturday,Baisley Park,1.0,1756.21,161,177.69595968923988
10,Saturday,Battery Park City-Lower Manhattan,11.0,19318.31,1772,1604.972364991409
10,Saturday,Bedford,1.0,1756.21,161,192.48909726836865
10,Saturday,Chinatown,12.0,21074.52,1933,1564.7000627818545
10,Saturday,Clinton,15.5,27221.255,2497,2429.654411681046
10,Saturday,Clinton Hill,2.0,3512.42,322,257.3520611246996
10,Saturday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1.0,1756.21,161,366.6741675508942
10,Saturday,East Concourse-Concourse Village,1.0,1756.21,161,179.36276820201363
10,Saturday,East Harlem North,2.0,3512.42,322,366.7038652097653
10,Saturday,East Harlem South,1.0,1756.21,161,528.7219330291955
10,Saturday,East Village,13.666666666666666,24001.536666666667,2202,2178.391332992148
10,Saturday,Forest Hills,1.0,1756.21,161,198.1846632951337
10,Saturday,Gramercy,12.666666666666666,22245.326666666668,2041,1945.7815000180383
10,Saturday,Greenpoint,2.0,3512.42,322,257.84088052987806
10,Saturday,Hudson Yards-Chelsea-Flatiron-Union Square,17.7,31084.916999999998,2852,3261.7418478997224
10,Saturday,Hunters Point-Sunnyside-West Maspeth,4.0,7024.84,644,440.8682300013261
10,Saturday,Lenox Hill-Roosevelt Island,12.5,21952.625,2014,2142.73543092992
10,Saturday,Lincoln Square,14.333333333333332,25172.34333333333,2309,2127.0382746218243
10,Saturday,Lower East Side,4.0,7024.84,644,700.7804816042833
10,Saturday,Manhattanville,1.0,1756.21,161,201.02330617782775
10,Saturday,Midtown-Midtown South,24.283333333333335,42646.63283333334,3913,4023.383554078436
10,Saturday,Morningside Heights,4.0,7024.84,644,851.4695285251577
10,Saturday,Murray Hill-Kips Bay,10.0,17562.1,1611,2459.3955388883933
10,Saturday,North Side-South Side,3.0,5268.63,483,617.4251288062869
10,Saturday,Park Slope-Gowanus,4.0,7024.84,644,311.11016827321555
10,Saturday,Prospect Heights,1.0,1756.21,161,202.60344096246945
10,Saturday,Queensbridge-Ravenswood-Long Island City,2.0,3512.42,322,285.8714091161995
